0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/css/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 200 44432
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:10 +0530] "GET /MedioxyPharm/index.jsp HTTP/1.1" 200 51798
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/css/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/js/respond.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/js/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/js/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/js/modernizr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/css/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/js/bootstrap-hover-dropdown.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/js/waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/js/front.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/img/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/img/logo-small.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/img/main-slider1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/img/main-slider2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/img/main-slider3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/img/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/img/product1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/img/product1_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/img/main-slider4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/img/product2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/img/getinspired1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/img/getinspired2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/img/getinspired3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/img/product3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/img/product2_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:25:11 +0530] "GET /MedioxyPharm/img/product3_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:27:12 +0530] "GET /MedioxyPharm/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:27:12 +0530] "GET /MedioxyPharm/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:27:12 +0530] "GET /MedioxyPharm/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:27:12 +0530] "GET /MedioxyPharm/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:27:12 +0530] "GET /MedioxyPharm/css/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:27:12 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
